id,components
420,"chlorpheniramine maleate, cloperastine hydrochloride, acetaminophen, pseudoephedrine hydrochloride, guaifenesin, methylephedrine hydrochloride, (+/-)-"
421,"magnesium hydroxide, aluminum phosphate, dimethicone"
422,"acetaminophen, propyphenazone, caffeine"
423,"ethinyl estradiol, desogestrel"
424,"glycyrrhizin, apricot kernel oil, platycodon grandiflorus root, polygala senega root"
425,"boric acid, acetic acid"
426,"evening primrose oil, olive oil, chamaecyparis obtusa leaf"
427,"camphor (synthetic), peppermint oil"
428,camphor (synthetic)
429,"ledipasvir, sofosbuvir"
430,"homosalate, avobenzone, octocrylene"
431,urea
432,ursodiol
433,.beta.-sitosterol
434,wood creosote
435,"ephedra sinica stem, polygala tenuifolia root, platycodon grandiflorus root, guaifenesin, asian ginseng"
436,"salicylic acid, lidocaine, levomenthol, econazole nitrate"
437,olea europaea fruit volatile oil
438,calendula officinalis flowering top
439,dextroamphetamine sulfate
440,"titanium dioxide, zinc oxide, octisalate, octinoxate"
441,clozapine
442,metoprolol succinate
443,"juniperus scopulorum pollen, white mulberry, juniperus ashei pollen, alternaria alternata, ustilago maydis, passalora fulva, olea europaea flower, nerium oleander flower"
444,policresulen
445,calaspargase pegol
446,"diethylamino hydroxybenzoyl hexyl benzoate, octisalate, bemotrizinol, amiloxate, octinoxate"
447,alirocumab
448,albendazole
449,"plantago indica seed coat, rhubarb, aloe, paeonia lactiflora root, magnolia officinalis bark, senna leaf"
450,indium in-111 oxyquinoline
451,"camphor (synthetic), methyl salicylate"
452,"angelica dahurica root, orange, licorice, asian ginseng"
453,doxorubicin hydrochloride
454,isocarboxazid
455,"avobenzone, octocrylene, octisalate, oxybenzone, octinoxate"
456,flubendazole
457,"ursodiol, pancrelipase, dimethicone"
458,scopolamine
459,"gentamicin sulfate, betamethasone valerate"
460,fentanyl
461,clarithromycin
462,"zinc oxide, menthol, unspecified form"
463,dutasteride
464,fentanyl citrate
465,"dextromethorphan hydrobromide, phenylephrine hydrochloride, brompheniramine maleate"
466,sildenafil citrate
467,"octinoxate, oxybenzone, octisalate, homosalate"
468,econazole nitrate
469,benzonatate
470,"chlorpheniramine maleate, dextromethorphan hydrobromide, phenylephrine hydrochloride, acetaminophen"
471,methocarbamol
472,"niacinamide, olea europaea leaf, myrrh"
473,"menthol, capsicum"
474,"lamivudine, tenofovir disoproxil fumarate"
475,"menthol, methyl salicylate, camphor (natural)"
476,fusidate sodium
477,"racementhol, methyl salicylate"
478,"neomycin sulfate, centella asiatica"
479,".alpha.-tocopherol acetate, ascorbic acid, hydroxocobalamin acetate, fursultiamine, riboflavin tetrabutyrate"
480,"triprolidine hydrochloride, acetaminophen, pseudoephedrine hydrochloride, dextromethorphan hydrobromide, guaifenesin, methylephedrine hydrochloride, (+/-)-"
481,"grindelia hirsutula whole, urtica urens, helianthemum canadense, delphinium staphisagria seed, ledum palustre twig"
482,"adenosine, dimethicone"
483,"lidocaine, benzalkonium chloride"
484,baclofen
485,"adapalene, niacinamide"
486,"tretinoin, benzoyl peroxide, clindamycin phosphate, niacinamide"
487,"metronidazole, brimonidine tartrate, niacinamide, ivermectin"
488,"tretinoin, dapsone, niacinamide"
489,"imiquimod, niacinamide"
490,"tretinoin, imiquimod"
491,"althaea officinalis root, calendula officinalis flowering top, horse chestnut, comfrey root, equisetum arvense top, salix alba bark, urtica urens, hamamelis virginiana root bark/stem bark, daphne mezereum bark, stellaria media"
492,"camphor, (-)-, levomenthol, methyl salicylate"
493,"ethenzamide, acetaminophen, caffeine"
494,"chlorpheniramine maleate, phenylephrine hydrochloride"
495,"phenylephrine hydrochloride, hard fat"
496,fenofibric acid
497,"hydroquinone, tretinoin, hydrocortisone"
498,levoleucovorin disodium
499,"zinc carbobenzoxy-.beta.-alanyltaurinate, potassium carbonate, phosphoric acid, zinc, selenium, silicon dioxide"
500,rabeprazole sodium
501,cyanocobalamin
502,nortriptyline hydrochloride
503,"bos taurus bile, pancrelipase, hemicellulase (aspergillus niger), dimethicone"
504,"velpatasvir, sofosbuvir"
505,carbamide peroxide
506,topiramate
507,".alpha.-tocopherol acetate, ascorbic acid, carbazochrome"
508,"calcium phosphate, dibasic, dihydrate, bacillus subtilis, ascorbic acid, riboflavin, thiamine mononitrate, niacinamide"
